Category	Function	Gene abbreviation	GCA_900292015.1_MB901379_prodigal_out Function presence	GCA_936269705.1_RiOegib_v1.0_prodigal_out Function presence	GCA_947251655.1_ilPheTrem1.Wolbachia_sp_1.1_prodigal_out Function presence
Nitrogen cycling	Nitric oxide reduction	norBC	Absent	Absent	Absent
Nitrogen cycling	Nitrous oxide reduction	nosDZ	Absent	Absent	Absent
Nitrogen cycling	Anammox	hzoA||hzsA	Absent	Absent	Absent
Sulfur cycling	Sulfide oxidation	fccB||sqr	Absent	Absent	Absent
Sulfur cycling	Sulfite reduction	dsrABD||asrABC	Absent	Absent	Absent
Sulfur cycling	Sulfur oxidation	sdo||sor	Present	Absent	Absent
Sulfur cycling	Sulfur reduction	sreABC||sor	Absent	Absent	Absent
Sulfur cycling	Thiosulfate oxidation	soxBCY	Absent	Absent	Absent
Sulfur cycling	Sulfate reduction	aprA||sat	Absent	Absent	Absent
Sulfur cycling	Thiosulfate disproportionation	phsA	Absent	Absent	Absent
Hydrogenases	FeFe hydrogenase	fefe-group-a13	Absent	Absent	Absent
Hydrogenases	FeFe hydrogenase	fefe-group-a2	Absent	Absent	Absent
Hydrogenases	FeFe hydrogenase	fefe-group-a4	Absent	Absent	Absent
Hydrogenases	FeFe hydrogenase	fefe-group-b	Absent	Absent	Absent
Hydrogenases	FeFe hydrogenase	fefe-group-c1	Absent	Absent	Absent
Hydrogenases	FeFe hydrogenase	fefe-group-c2	Absent	Absent	Absent
Hydrogenases	FeFe hydrogenase	fefe-group-c3	Absent	Absent	Absent
Hydrogenases	Fe hydrogenase	fe	Absent	Absent	Absent
Hydrogenases	Ni-Fe Hydrogenase	nife-group-1	Present	Absent	Absent
Hydrogenases	Ni-Fe Hydrogenase	nife-group-2ade	Absent	Absent	Absent
Hydrogenases	Ni-Fe Hydrogenase	nife-group-2bc	Absent	Absent	Absent
Hydrogenases	Ni-Fe Hydrogenase	nife-group-3abd	Present	Absent	Absent
Hydrogenases	Ni-Fe Hydrogenase	nife-group-3c	Absent	Absent	Absent
Hydrogenases	Ni-Fe Hydrogenase	nife-group-4a-g	Absent	Absent	Absent
Hydrogenases	Ni-Fe Hydrogenase	nife-group-4hi	Absent	Absent	Absent
Oxidative phosphorylation	Complex I (NADH-quinone oxidoreductase)	nuoABC	Present	Present	Present
Oxidative phosphorylation	Complex I (NAD(P)H-quinone oxidoreductase)	NdhABC	Absent	Absent	Absent
Oxidative phosphorylation	Complex II (Succinate dehydrogenase/Fumarate reductase)	sdhCD	Present	Present	Present
Oxidative phosphorylation	Complex III (Cytochrome c reductase)	petAB||fbcH	Absent	Present	Present
Oxidative phosphorylation	Complex V (ATP synthase: V/A-type H+/Na+-transporting ATPase)	atpAB (V/A-type)	Absent	Absent	Absent
Oxidative phosphorylation	Complex V (F-type H+-transporting ATPase)	atpAD (F-type)	Present	Present	Present
Oxygen metabolism (Oxidative phosphorylation Complex IV)	Oxygen metabolism - cytochrome c oxidase, caa3-type	coxAB	Present	Present	Present
Oxygen metabolism (Oxidative phosphorylation Complex IV)	Oxygen metabolism - cytochrome c oxidase, cbb3-type	ccoNOP	Absent	Absent	Absent
Oxygen metabolism (Oxidative phosphorylation Complex IV)	Oxygen metabolism - cytochrome (quinone) oxidase, bo type	cyoABCD	Absent	Absent	Absent
Oxygen metabolism (Oxidative phosphorylation Complex IV)	Oxygen metabolism - cytochrome (quinone) oxidase, bd type	cydAB	Present	Present	Absent
Oxygen metabolism (Oxidative phosphorylation Complex IV)	Oxygen metabolism - cytochrome (quinone) oxidase, aa3 type, QoxABCD	qoxAB	Absent	Absent	Absent
Urea utilization	Urease	ureABC	Present	Absent	Absent
Halogenated compound utilization	Halogenated compounds breakdown	E3.8.1.2||pcpC||cprA||pceA	Absent	Absent	Absent
Perchlorate reduction	Perchlorate reduction	pcrAB	Absent	Absent	Absent
Chlorite reduction	Chlorite reduction	cld	Present	Absent	Absent
As cycling	Arsenite oxidation	arxA||aioA	Absent	Absent	Absent
As cycling	Arsenate reduction	arrA	Absent	Absent	Absent
Selenate reduction	Selenate reduction	ygfMK||xdhD	Absent	Absent	Absent
Nitrile hydration	Nitrile hydratase	nthAB	Absent	Absent	Absent
Metal reduction	Metal (Iron/Manganese) reduction	Iron reduction series genes	Present	Present	Present
