#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
OX366373.1_1155      -          K20170               -              3e-37  127.2   0.1   4.7e-29  100.1   0.0   2.5   1   1   2   3   3   3   2 # 1224156 # 1225703 # 1 # ID=1_1155;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.377
OW370493.1_1949      -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 1762590 # 1763918 # -1 # ID=1_1949;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_1971      -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 1781391 # 1782719 # 1 # ID=1_1971;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_2031      -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 1834140 # 1835468 # -1 # ID=1_2031;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_2067      -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 1865394 # 1866722 # -1 # ID=1_2067;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_2242      -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 2013391 # 2014719 # 1 # ID=1_2242;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_2272      -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 2039583 # 2040911 # -1 # ID=1_2272;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_2389      -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 2147369 # 2148697 # -1 # ID=1_2389;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_2402      -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 2160444 # 2161772 # -1 # ID=1_2402;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_2494      -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 2246881 # 2248209 # -1 # ID=1_2494;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_2613      -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 2355071 # 2356399 # -1 # ID=1_2613;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_2664      -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 2401838 # 2403166 # -1 # ID=1_2664;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_2697      -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 2437819 # 2439147 # -1 # ID=1_2697;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_2707      -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 2447495 # 2448823 # -1 # ID=1_2707;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_2711      -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 2452409 # 2453737 # -1 # ID=1_2711;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_2749      -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 2492868 # 2494196 # -1 # ID=1_2749;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_2820      -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 2562435 # 2563763 # -1 # ID=1_2820;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_2848      -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 2584803 # 2586131 # -1 # ID=1_2848;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_2873      -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 2604199 # 2605527 # -1 # ID=1_2873;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_315       -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 276037 # 277365 # 1 # ID=1_315;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_614       -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 544649 # 545977 # 1 # ID=1_614;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_688       -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 612181 # 613509 # 1 # ID=1_688;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_710       -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 634579 # 635907 # -1 # ID=1_710;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_759       -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 681217 # 682545 # 1 # ID=1_759;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_799       -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 713070 # 714398 # 1 # ID=1_799;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_811       -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 721220 # 722548 # -1 # ID=1_811;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_856       -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 762960 # 764288 # 1 # ID=1_856;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_909       -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 806889 # 808217 # 1 # ID=1_909;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_953       -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 850578 # 851906 # 1 # ID=1_953;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_97        -          K20170               -            2.6e-34  117.5   0.4   3.9e-34  116.9   0.4   1.3   1   0   0   1   1   1   1 # 92765 # 94093 # 1 # ID=1_97;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
OW370493.1_571       -          K20170               -            3.5e-34  117.1   0.3   5.2e-34  116.5   0.3   1.3   1   0   0   1   1   1   1 # 509665 # 510993 # 1 # ID=1_571;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.367
OX366373.1_1076      -          K20170               -            1.1e-32  112.2   2.7   2.2e-29  101.2   0.9   2.1   1   1   1   2   2   2   2 # 1147657 # 1149000 # -1 # ID=1_1076;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.368
OX366373.1_410       -          K20170               -            1.1e-32  112.2   2.7   2.2e-29  101.2   0.9   2.1   1   1   1   2   2   2   2 # 462249 # 463592 # 1 # ID=1_410;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.370
OX366373.1_516       -          K20170               -            1.1e-32  112.2   2.7   2.2e-29  101.2   0.9   2.1   1   1   1   2   2   2   2 # 580492 # 581835 # 1 # ID=1_516;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.370
OW370493.1_1462      -          K20170               -            5.3e-30  103.3   0.0   1.5e-28   98.5   0.1   2.0   1   1   1   2   2   2   1 # 1303729 # 1304373 # 1 # ID=1_1462;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.358
OW370493.1_226       -          K20170               -            5.5e-21   73.5   0.1   6.1e-21   73.3   0.1   1.0   1   0   0   1   1   1   1 # 203200 # 203787 # 1 # ID=1_226;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.338
OW370493.1_1303      -          K20170               -            1.8e-16   58.6   0.0   2.1e-16   58.3   0.0   1.0   1   0   0   1   1   1   1 # 1159131 # 1159664 # 1 # ID=1_1303;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.356
OW370493.1_1526      -          K20170               -            1.8e-16   58.6   0.0   2.1e-16   58.3   0.0   1.0   1   0   0   1   1   1   1 # 1381137 # 1381670 # 1 # ID=1_1526;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.356
OW370493.1_1975      -          K20170               -            1.8e-16   58.6   0.0   2.1e-16   58.3   0.0   1.0   1   0   0   1   1   1   1 # 1784485 # 1785018 # -1 # ID=1_1975;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.354
OW370493.1_2524      -          K20170               -            1.8e-16   58.6   0.0   2.1e-16   58.3   0.0   1.0   1   0   0   1   1   1   1 # 2276733 # 2277266 # -1 # ID=1_2524;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.354
OW370493.1_321       -          K20170               -            1.8e-16   58.6   0.0   2.1e-16   58.3   0.0   1.0   1   0   0   1   1   1   1 # 281435 # 281968 # 1 # ID=1_321;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.356
OW370493.1_149       -          K20170               -            3.4e-15   54.3   0.0     4e-15   54.1   0.0   1.0   1   0   0   1   1   1   1 # 138983 # 139474 # -1 # ID=1_149;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.364
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /home/pedro/felipe/METABOLIC/kofam_database/profiles/K20170.hmm
# Target file:     /home/pedro/felipe//total.faa
# Option settings: hmmsearch --tblout metabolic_faa_test/intermediate_files/Hmmsearch_Outputs/K20170.hmm.total.hmmsearch_result.txt -T 50 --cpu 1 /home/pedro/felipe/METABOLIC/kofam_database/profiles/K20170.hmm /home/pedro/felipe//total.faa 
# Current dir:     /home/pedro/felipe
# Date:            Thu Apr 27 14:36:23 2023
# [ok]
