#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
OX366373.1_1198      -          K07494               -            1.8e-24   86.0   0.0     2e-24   85.8   0.0   1.0   1   0   0   1   1   1   1 # 1266563 # 1267030 # 1 # ID=1_1198;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.361
OW370493.1_2651      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 2389191 # 2389751 # -1 # ID=1_2651;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.374
OW370493.1_2669      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 2405714 # 2406274 # -1 # ID=1_2669;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_268       -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 235147 # 235707 # 1 # ID=1_268;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_2704      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 2445192 # 2445752 # -1 # ID=1_2704;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_2723      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 2464890 # 2465450 # 1 # ID=1_2723;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_2784      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 2526359 # 2526919 # 1 # ID=1_2784;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_2800      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 2540609 # 2541169 # -1 # ID=1_2800;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_2869      -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 2601917 # 2602477 # -1 # ID=1_2869;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_294       -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 255505 # 256065 # 1 # ID=1_294;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_327       -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 285463 # 286023 # 1 # ID=1_327;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_392       -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 354357 # 354917 # -1 # ID=1_392;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_410       -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 369291 # 369851 # -1 # ID=1_410;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_430       -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 385573 # 386133 # -1 # ID=1_430;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_455       -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 411743 # 412303 # -1 # ID=1_455;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_456       -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 412389 # 412949 # -1 # ID=1_456;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_493       -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 441249 # 441809 # -1 # ID=1_493;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_516       -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 458071 # 458631 # -1 # ID=1_516;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_554       -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 494727 # 495287 # 1 # ID=1_554;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_574       -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 512360 # 512920 # -1 # ID=1_574;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_62        -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 58672 # 59232 # 1 # ID=1_62;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_624       -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 552468 # 553028 # 1 # ID=1_624;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_69        -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 65543 # 66103 # 1 # ID=1_69;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_700       -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 622194 # 622754 # -1 # ID=1_700;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_714       -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 638179 # 638739 # -1 # ID=1_714;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_779       -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 699450 # 700010 # -1 # ID=1_779;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_805       -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 717992 # 718552 # 1 # ID=1_805;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_819       -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 729820 # 730380 # 1 # ID=1_819;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_825       -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 735751 # 736311 # -1 # ID=1_825;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_849       -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 757757 # 758317 # -1 # ID=1_849;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_862       -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 768063 # 768623 # -1 # ID=1_862;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_868       -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 770690 # 771250 # -1 # ID=1_868;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.376
OW370493.1_876       -          K07494               -            1.7e-18   66.3   0.0   1.9e-18   66.2   0.0   1.0   1   0   0   1   1   1   1 # 779268 # 779828 # 1 # ID=1_876;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.374
